Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1381978207, 724#1381977598, 23_EmilyH, null, 23_E,23,6,5,0.263,0,5,0.263,0,0,0,0,1,0,7,2,0.105,0,0,1,0.053,2.574,0.135,79.638,4.191,82.212,4.327,4.111,0.031,0.515,6.851,0,0,11.377,1,18,19,3.167,1,-6,-5,0.053,0.947,20,31,0.392,0.608,0.064,1,0,1,3,7,2.857143,0.032,0.968,0.032,143.117,0.142,0.858,0.168,0.832
1381978236, 724#1381977598, 24_JuliaW, null, 24_J,24,6,6,0.261,0,5,0.217,0,1,0.043,0,0.8333333,0,6,0,0,0,0,2,0.087,12.064,0.525,35.464,1.542,47.528,2.066,2.501,0.254,2.011,4.321,47.53,6,5.911,4,19,23,3.833,2,-13,-11,0.174,0.826,19,32,0.373,0.627,0.071,0,0,0,0,6,3.1666667,0.062,0.938,0,201.383,0.163,0.837,0.123,0.877
1381978259, 724#1381977598, 26_BeccaL, null, 26_B,26,6,14,0.326,0,14,0.326,0,0,0,0,1,0,19,7,0.163,0,0,5,0.116,-36.062,-0.839,374.322,8.705,338.26,7.867,7.047,-0.107,-2.576,10.25,0,0,19.701,15,28,43,7.167,11,-8,3,0.349,0.651,48,49,0.495,0.505,0.072,3,0,3,0,24,2,0.102,0.898,0.061,204.581,0.134,0.866,0.116,0.884
1381978284, 724#1381977598, 32_CarolL, null, 32_C,32,5,10,0.526,0,10,0.526,0,0,0,0,1,0,11,1,0.053,0,0,3,0.158,30.485,1.604,48.763,2.566,79.248,4.171,5.283,0.385,3.048,3.774,0,0,4.433,1,18,19,3.8,1,-10,-9,0.053,0.947,15,26,0.366,0.634,0.186,1,0,1,0,6,2.5,0.115,0.885,0.038,171.587,0.16,0.84,0.094,0.906
1381978319, 724#1381977598, 37_ServiaR, null, 37_S,37,5,2,0.118,0,2,0.118,0,0,0,0,1,0,2,0,0,0,0,1,0.059,22.477,1.322,30.069,1.769,52.546,3.091,3.091,0.428,11.238,13.136,0,0,15.034,0,17,17,3.4,0,-9,-9,0,1,17,28,0.378,0.622,0.043,2,0,2,1,5,3.4,0.036,0.964,0.071,83.109,0.089,0.911,0.083,0.917
1381978343, 724#1381977598, 43_KellyB, null, 43_K,43,5,5,0.357,1,5,0.357,1,0,0,0,1,1,6,1,0.071,0,0,0,0,52,3.714,92.755,6.625,144.755,10.34,9.047,0.359,10.4,13.16,0,0,15.459,0,14,14,2.8,0,0,0,0,1,16,23,0.41,0.59,0.083,0,0,0,2,7,2.2857144,0,1,0,76.245,0.106,0.894,0.083,0.917
1381978375, 724#1381977598, 72_JacquelineJ, null, 72_J,72,4,1,0.167,0,1,0.167,0,0,0,0,1,0,0,0,0,0,0,0,0,5.421,0.904,0,0,5.421,0.904,1.807,1,5.421,5.421,0,0,-1,2,4,6,1.5,2,-2,0,0.333,0.667,3,4,0.429,0.571,0,0,0,0,0,3,1,0,1,0,7.176,0.039,0.961,0.095,0.905
1381978396, 724#1381977598, 77_SaraM, null, 77_S,77,5,103,1.807,6,96,1.684,4,7,0.123,2,0.93203884,0.6666667,90,3,0.053,5,0.088,1,0.018,775.281,13.601,161.356,2.831,936.637,16.432,10.766,0.828,7.527,5.036,133.81,15.14,1.793,57,0,57,11.4,29,0,29,1,0,87,44,0.664,0.336,0.157,1,0,1,1,43,2.0232558,0.023,0.977,0.023,73.918,0.094,0.906,0.083,0.917
1381978487, 724#1381977598, 99_KatieD, null, 99_K,99,6,5,0.135,0,5,0.135,0,0,0,0,1,0,6,1,0.027,1,0.027,1,0.027,23.699,0.641,77.727,2.101,101.426,2.741,2.983,0.234,4.74,9.221,0,0,12.954,1,36,37,6.167,1,-8,-7,0.027,0.973,34,51,0.4,0.6,0.045,0,0,0,2,16,2.125,0.02,0.98,0,164.853,0.095,0.905,0.134,0.866
1368991065, 722#1368990973, 03 Gwen, null, 03 G,3,13,124,1.278,10,113,1.165,6,11,0.113,4,0.91129035,0.6,89,4,0.041,7,0.072,1,0.01,1024.842,10.565,227.916,2.35,1252.758,12.915,8.64,0.818,8.265,6.202,113.89,11.64,2.561,73,24,97,7.462,51,4,55,0.753,0.247,145,99,0.594,0.406,0.124,5,0,5,0,74,1.9594594,0.01,0.99,0.051,134.407,0.078,0.922,0.181,0.819
1368991087, 722#1368990973, 04 Rohre, null, 04 R,4,8,34,1.417,1,32,1.333,1,2,0.083,0,0.9411765,1,27,0,0,1,0.042,1,0.042,283.998,11.833,-51.441,-2.143,232.557,9.69,6.644,1.221,8.353,3.942,116.28,17,-1.905,10,14,24,3,6,0,6,0.417,0.583,35,32,0.522,0.478,0.159,0,0,0,3,15,2.3333333,0.031,0.969,0,86.593,0.107,0.893,0.144,0.856
1368991100, 722#1368990973, 05 KK, null, 05 K,5,14,56,0.636,10,48,0.545,7,8,0.091,3,0.85714287,0.7,64,8,0.091,13,0.148,3,0.034,518.219,5.889,651.911,7.408,1170.13,13.297,10.542,0.443,9.254,10.448,146.27,8,10.186,27,61,88,6.286,17,1,18,0.307,0.693,111,111,0.5,0.5,0.127,0,0,0,5,55,2.0181818,0.027,0.973,0,236.119,0.091,0.909,0.125,0.875
1368991116, 722#1368990973, 06 Surge, null, 06 S,6,14,81,0.779,8,75,0.721,8,6,0.058,0,0.9259259,1,88,14,0.135,19,0.183,1,0.01,916.409,8.812,1324.791,12.738,2241.2,21.55,16.241,0.409,11.314,13.75,373.53,15.83,15.054,58,46,104,7.429,44,4,48,0.558,0.442,138,112,0.552,0.448,0.129,6,8,14,2,74,1.8648648,0.009,0.991,0.125,259.805,0.122,0.878,0.128,0.872
